schedule_month,region_name,commissioner_name,monthly_ud_as_delivered,monthly_uo_as_delivered,urgent_forms,any_band_unique_patients_rolling_12_month,band_1_unique_patients_rolling_12_month,band_2_or_3_unique_patients_rolling_12_month,urgent_band_1_unique_patients_rolling_12_month,other_unique_patients_rolling_12_month
2016-07-01T00:00:00Z,Midlands,Lincolnshire ICB,102223.6,NA,4044,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Northamptonshire ICB,97739.6,NA,4464,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Nottingham and Nottinghamshire ICB,167995.2,NA,5145,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,"Shropshire, Telford and Wrekin ICB",64171.4,NA,2251,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Staffordshire and Stoke-on-Trent ICB,166725,NA,4785,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North East and Yorkshire,Humber and North Yorkshire ICB,249371.8,NA,9764,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North East and Yorkshire,North East and North Cumbria ICB,482569,NA,18139,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North East and Yorkshire,South Yorkshire ICB,234350.4,NA,8327,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North East and Yorkshire,West Yorkshire ICB,358997,NA,12585,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North West,Cheshire and Merseyside ICB,425546.4,NA,19769,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North West,Greater Manchester ICB,461240.8,NA,20881,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,North West,Lancashire and South Cumbria ICB,233370.4,NA,9545,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,"Buckinghamshire, Oxfordshire and Berkshire West ICB",203949.8,NA,9514,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,Frimley ICB,92237.8,NA,4523,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,Hampshire and Isle Of Wight ICB,245645.8,NA,12376,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,Kent And Medway ICB,231789,NA,10787,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,Surrey Heartlands ICB,105033.8,NA,4254,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South East,Sussex ICB,244828.2,NA,10584,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,"Bath and North East Somerset, Swindon And Wiltshire ICB",109538.8,NA,3840,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,"Bristol, North Somerset and South Gloucestershire ICB",141900.2,NA,5094,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,Cornwall and the Isles Of Scilly ICB,82872.8,NA,4681,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,Devon ICB,175526.4,NA,7669,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,Dorset ICB,117889,NA,5456,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,Gloucestershire ICB,67378.6,NA,2279,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,South West,Somerset ICB,88598.4,NA,3567,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,"Bedfordshire, Luton and Milton Keynes ICB",108860,NA,4123,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,Cambridgeshire and Peterborough ICB,93373.2,NA,4193,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,172885.6,NA,6568,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,Mid and South Essex ICB,156647,NA,5920,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,Norfolk and Waveney ICB,125681.8,NA,6351,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,116127.8,NA,5252,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,London,North Central London ICB,162327,NA,7265,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,London,North East London ICB,194998.8,NA,7968,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,London,North West London ICB,245362.6,NA,10546,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,London,South East London ICB,211247.2,NA,7746,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,London,South West London ICB,145593.4,NA,5913,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Birmingham and Solihull ICB,168600.8,NA,5754,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Black Country ICB,166682.8,NA,5345,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Coventry and Warwickshire ICB,117134.4,NA,3069,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Derby and Derbyshire ICB,126234.8,NA,3864,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Herefordshire and Worcestershire ICB,82968.2,NA,2576,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,"Leicester, Leicestershire and Rutland ICB",123907.4,NA,4360,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Lincolnshire ICB,83494.2,NA,3308,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Northamptonshire ICB,80804.2,NA,3592,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Nottingham and Nottinghamshire ICB,149402.2,NA,4690,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,"Shropshire, Telford and Wrekin ICB",57873.8,NA,2189,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,Midlands,Staffordshire and Stoke-on-Trent ICB,140066.4,NA,4186,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North East and Yorkshire,Humber and North Yorkshire ICB,215605.4,NA,8067,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North East and Yorkshire,North East and North Cumbria ICB,402935.4,NA,15391,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North East and Yorkshire,South Yorkshire ICB,206436,NA,6865,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North East and Yorkshire,West Yorkshire ICB,320350.6,NA,10700,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North West,Cheshire and Merseyside ICB,360704.8,NA,17256,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North West,Greater Manchester ICB,396637.6,NA,17654,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,North West,Lancashire and South Cumbria ICB,204748,NA,8139,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South East,"Buckinghamshire, Oxfordshire and Berkshire West ICB",180123.2,NA,8001,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South East,Frimley ICB,83167.6,NA,3970,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South East,Hampshire and Isle Of Wight ICB,207192.4,NA,9739,NA,NA,NA,NA,NA
