"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"281",2018-09-30,"08Y",NA,"Adult",181014
"282",2018-09-30,"08Y",NA,"Child",42043
"283",2018-09-30,"09A",NA,"Adult",145883
"284",2018-09-30,"09A",NA,"Child",31597
"285",2018-09-30,"09C",NA,"Adult",98127
"286",2018-09-30,"09C",NA,"Child",29400
"287",2018-09-30,"09D",NA,"Adult",237174
"288",2018-09-30,"09D",NA,"Child",50981
"289",2018-09-30,"09E",NA,"Adult",173471
"290",2018-09-30,"09E",NA,"Child",38997
"291",2018-09-30,"09F",NA,"Adult",154921
"292",2018-09-30,"09F",NA,"Child",35740
"293",2018-09-30,"09G",NA,"Adult",409875
"294",2018-09-30,"09G",NA,"Child",94701
"295",2018-09-30,"09H",NA,"Adult",84702
"296",2018-09-30,"09H",NA,"Child",26962
"297",2018-09-30,"09J",NA,"Adult",201806
"298",2018-09-30,"09J",NA,"Child",60168
"299",2018-09-30,"09L",NA,"Adult",142784
"300",2018-09-30,"09L",NA,"Child",41950
"301",2018-09-30,"09N",NA,"Adult",165073
"302",2018-09-30,"09N",NA,"Child",43729
"303",2018-09-30,"09P",NA,"Adult",152352
"304",2018-09-30,"09P",NA,"Child",35458
"305",2018-09-30,"09W",NA,"Adult",213673
"306",2018-09-30,"09W",NA,"Child",63943
"307",2018-09-30,"09X",NA,"Adult",184495
"308",2018-09-30,"09X",NA,"Child",51618
"309",2018-09-30,"09Y",NA,"Adult",270328
"310",2018-09-30,"09Y",NA,"Child",77419
"311",2018-09-30,"10A",NA,"Adult",168542
"312",2018-09-30,"10A",NA,"Child",40759
"313",2018-09-30,"10C",NA,"Adult",76043
"314",2018-09-30,"10C",NA,"Child",20584
"315",2018-09-30,"10D",NA,"Adult",89485
"316",2018-09-30,"10D",NA,"Child",26770
"317",2018-09-30,"10E",NA,"Adult",111508
"318",2018-09-30,"10E",NA,"Child",29829
"319",2018-09-30,"10J",NA,"Adult",174102
"320",2018-09-30,"10J",NA,"Child",49141
"321",2018-09-30,"10K",NA,"Adult",161451
"322",2018-09-30,"10K",NA,"Child",40277
"323",2018-09-30,"10L",NA,"Adult",115929
"324",2018-09-30,"10L",NA,"Child",25055
"325",2018-09-30,"10Q",NA,"Adult",527490
"326",2018-09-30,"10Q",NA,"Child",140123
"327",2018-09-30,"10R",NA,"Adult",170526
"328",2018-09-30,"10R",NA,"Child",44192
"329",2018-09-30,"10V",NA,"Adult",171334
"330",2018-09-30,"10V",NA,"Child",43315
"331",2018-09-30,"10X",NA,"Adult",202054
"332",2018-09-30,"10X",NA,"Child",50305
"333",2018-09-30,"11A",NA,"Adult",450259
"334",2018-09-30,"11A",NA,"Child",113262
"335",2018-09-30,"11E",NA,"Adult",153120
"336",2018-09-30,"11E",NA,"Child",35558
"337",2018-09-30,"11J",NA,"Adult",627657
"338",2018-09-30,"11J",NA,"Child",143032
"339",2018-09-30,"11M",NA,"Adult",501135
"340",2018-09-30,"11M",NA,"Child",127004
"341",2018-09-30,"11N",NA,"Adult",456199
"342",2018-09-30,"11N",NA,"Child",107409
"343",2018-09-30,"11X",NA,"Adult",445111
"344",2018-09-30,"11X",NA,"Child",110084
"345",2018-09-30,"12D",NA,"Adult",174924
"346",2018-09-30,"12D",NA,"Child",51442
"347",2018-09-30,"12F",NA,"Adult",255090
"348",2018-09-30,"12F",NA,"Child",67706
"349",2018-09-30,"13T",NA,"Adult",400937
"350",2018-09-30,"13T",NA,"Child",97324
"351",2018-09-30,"14L",NA,"Adult",424319
"352",2018-09-30,"14L",NA,"Child",121182
"353",2018-09-30,"14Y",NA,"Adult",414845
"354",2018-09-30,"14Y",NA,"Child",123593
"355",2018-09-30,"15A",NA,"Adult",374943
"356",2018-09-30,"15A",NA,"Child",111585
"357",2018-09-30,"15C",NA,"Adult",755798
"358",2018-09-30,"15C",NA,"Child",195315
"359",2018-09-30,"15D",NA,"Adult",325279
"360",2018-09-30,"15D",NA,"Child",106126
"361",2018-09-30,"15E",NA,"Adult",887532
"362",2018-09-30,"15E",NA,"Child",287724
"363",2018-09-30,"15F",NA,"Adult",618578
"364",2018-09-30,"15F",NA,"Child",166268
"365",2018-09-30,"99A",NA,"Adult",397993
"366",2018-09-30,"99A",NA,"Child",93556
"367",2018-09-30,"99C",NA,"Adult",163596
"368",2018-09-30,"99C",NA,"Child",40877
"369",2018-09-30,"99D",NA,"Adult",120240
"370",2018-09-30,"99D",NA,"Child",29584
"371",2018-09-30,"99E",NA,"Adult",202770
"372",2018-09-30,"99E",NA,"Child",58284
"373",2018-09-30,"99F",NA,"Adult",142311
"374",2018-09-30,"99F",NA,"Child",33712
"375",2018-09-30,"99G",NA,"Adult",142693
"376",2018-09-30,"99G",NA,"Child",39115
"377",2018-09-30,"99H",NA,"Adult",226371
"378",2018-09-30,"99H",NA,"Child",65174
