"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","PATIENT_TYPE","AGE_BAND","SEEN","POP","PERCENT_SEEN"
"52",2018-12-31,"03W","E38000051",NA,"Child","4",2240,3719,60.23
"53",2018-12-31,"03W","E38000051",NA,"Child","5",2360,3821,61.76
"54",2018-12-31,"03W","E38000051",NA,"Child","6",2587,3899,66.35
"55",2018-12-31,"03W","E38000051",NA,"Child","7",2609,3872,67.38
"56",2018-12-31,"03W","E38000051",NA,"Child","8",2687,3841,69.96
"57",2018-12-31,"03W","E38000051",NA,"Child","9",2727,3969,68.71
"58",2018-12-31,"04C","E38000097",NA,"Adult","18+",147903,269762,54.83
"59",2018-12-31,"04C","E38000097",NA,"Child","0",285,5043,5.65
"60",2018-12-31,"04C","E38000097",NA,"Child","1",1709,5154,33.16
"61",2018-12-31,"04C","E38000097",NA,"Child","10",3865,4584,84.32
"62",2018-12-31,"04C","E38000097",NA,"Child","11",3800,4540,83.7
"63",2018-12-31,"04C","E38000097",NA,"Child","12",3543,4276,82.86
"64",2018-12-31,"04C","E38000097",NA,"Child","13",3578,4189,85.41
"65",2018-12-31,"04C","E38000097",NA,"Child","14",3473,3980,87.26
"66",2018-12-31,"04C","E38000097",NA,"Child","15",3239,3964,81.71
"67",2018-12-31,"04C","E38000097",NA,"Child","16",2921,3913,74.65
"68",2018-12-31,"04C","E38000097",NA,"Child","17",2717,4099,66.28
"69",2018-12-31,"04C","E38000097",NA,"Child","2",2533,5136,49.32
"70",2018-12-31,"04C","E38000097",NA,"Child","3",2908,5085,57.19
"71",2018-12-31,"04C","E38000097",NA,"Child","4",3173,5156,61.54
"72",2018-12-31,"04C","E38000097",NA,"Child","5",3442,5335,64.52
"73",2018-12-31,"04C","E38000097",NA,"Child","6",3828,4962,77.15
"74",2018-12-31,"04C","E38000097",NA,"Child","7",3887,4685,82.97
"75",2018-12-31,"04C","E38000097",NA,"Child","8",3926,4889,80.3
"76",2018-12-31,"04C","E38000097",NA,"Child","9",3786,4788,79.07
"77",2018-12-31,"04D","E38000100",NA,"Adult","18+",97477,193666,50.33
"78",2018-12-31,"04D","E38000100",NA,"Child","0",63,2516,2.5
"79",2018-12-31,"04D","E38000100",NA,"Child","1",539,2724,19.79
"80",2018-12-31,"04D","E38000100",NA,"Child","10",1800,2519,71.46
"81",2018-12-31,"04D","E38000100",NA,"Child","11",1661,2465,67.38
"82",2018-12-31,"04D","E38000100",NA,"Child","12",1674,2370,70.63
"83",2018-12-31,"04D","E38000100",NA,"Child","13",1697,2370,71.6
"84",2018-12-31,"04D","E38000100",NA,"Child","14",1638,2310,70.91
"85",2018-12-31,"04D","E38000100",NA,"Child","15",1704,2232,76.34
"86",2018-12-31,"04D","E38000100",NA,"Child","16",1469,2451,59.93
"87",2018-12-31,"04D","E38000100",NA,"Child","17",1364,2520,54.13
"88",2018-12-31,"04D","E38000100",NA,"Child","2",1062,2707,39.23
"89",2018-12-31,"04D","E38000100",NA,"Child","3",1299,2698,48.15
"90",2018-12-31,"04D","E38000100",NA,"Child","4",1458,2682,54.36
"91",2018-12-31,"04D","E38000100",NA,"Child","5",1500,2803,53.51
"92",2018-12-31,"04D","E38000100",NA,"Child","6",1760,2749,64.02
"93",2018-12-31,"04D","E38000100",NA,"Child","7",1804,2573,70.11
"94",2018-12-31,"04D","E38000100",NA,"Child","8",1716,2628,65.3
"95",2018-12-31,"04D","E38000100",NA,"Child","9",1777,2569,69.17
"96",2018-12-31,"04E","E38000103",NA,"Adult","18+",74598,158326,47.12
"97",2018-12-31,"04E","E38000103",NA,"Child","0",44,2382,1.85
"98",2018-12-31,"04E","E38000103",NA,"Child","1",410,2366,17.33
"99",2018-12-31,"04E","E38000103",NA,"Child","10",1561,2276,68.59
